loan_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,delinq_amnt,percent_funded
11800,12.69,395.83,42000.0,9.86,0,0,100.0
4500,6.03,136.96,53000.0,4.44,0,0,100.0
7000,12.69,234.82,35000.0,11.35,0,0,100.0
9200,12.42,307.43,60000.0,19.96,0,0,100.0
14000,17.27,349.98,28000.0,6.34,0,0,100.0
4500,10.65,97.06,42000.0,5.4,0,0,100.0
12000,16.29,423.61,88365.0,16.85,0,0,100.0
12000,13.49,407.17,72000.0,21.33,0,0,100.0
12000,10.65,390.88,62000.0,23.94,0,0,100.0
7000,10.65,228.02,43680.0,5.38,0,0,100.0
8200,19.42,214.62,120000.0,2.8,0,0,100.0
10500,12.69,352.23,66000.0,20.73,1,0,100.0
7000,11.71,231.54,39120.0,21.01,0,0,100.0
15300,22.06,423.1,85000.0,20.58,0,0,100.0
20000,11.71,282.86,47800.0,10.04,0,0,64.0
17500,17.27,437.47,45000.0,21.31,0,0,100.0
3500,6.03,106.53,83000.0,2.31,0,0,100.0
6000,12.69,135.57,81000.0,13.66,1,0,100.0
6200,9.91,199.8,25000.0,20.64,0,0,100.0
16000,17.58,402.65,65000.0,15.56,0,0,100.0
6000,8.9,190.52,28800.0,13.17,0,0,100.0
7200,9.91,232.02,135000.0,6.12,0,0,100.0
9500,8.9,301.66,50000.0,8.18,0,0,100.0
18825,16.77,465.53,38000.0,23.18,0,0,100.0
24000,10.65,781.76,45000.0,14.8,0,0,100.0
6000,13.49,203.59,80000.0,11.58,0,0,100.0
6000,13.49,203.59,50000.0,15.38,0,0,100.0
2100,12.42,70.18,30000.0,19.72,0,0,100.0
5500,6.62,168.88,110000.0,9.69,0,0,100.0
11000,6.62,337.75,45608.0,20.5,0,0,100.0
26800,20.89,723.38,120000.0,12.15,0,0,100.0
8000,12.69,268.36,35000.0,10.05,0,0,100.0
10000,18.25,362.78,75000.0,24.14,0,0,100.0
8000,11.71,264.61,35000.0,9.7,0,0,100.0
10000,8.9,317.54,24000.0,7.0,0,0,100.0
12000,11.71,396.92,126000.0,13.32,0,0,100.0
10000,7.9,312.91,43000.0,25.26,0,0,100.0
12000,9.91,386.7,50000.0,16.44,0,0,100.0
25000,13.49,575.12,67000.0,14.15,0,0,100.0
19750,10.65,643.33,45000.0,22.8,0,0,100.0
10000,9.91,322.25,31200.0,14.81,0,0,100.0
13650,12.42,456.12,66000.0,24.09,0,0,100.0
28000,19.91,312.04,52000.0,20.7,0,0,42.142857142857146
18000,7.9,563.23,56964.0,27.55,0,0,100.0
2500,14.27,85.78,49500.0,10.33,0,0,100.0
21000,20.3,559.89,70000.0,23.21,0,0,100.0
35000,8.9,1111.37,125000.0,22.71,0,0,100.0
10000,7.51,311.11,33000.0,9.75,0,0,100.0
7000,12.69,234.82,30000.0,15.8,0,0,100.0
24000,15.96,843.3,90000.0,9.17,0,0,100.0
10625,7.51,330.56,23000.0,18.89,0,0,100.0
5000,14.65,172.48,24000.0,18.3,0,0,100.0
8850,6.62,271.73,62000.0,17.71,0,0,100.0
6375,7.51,198.34,44000.0,4.8,0,0,100.0
6000,11.71,198.46,90000.0,2.97,1,0,100.0
11100,6.62,340.82,41000.0,29.85,0,0,100.0
10000,12.69,225.95,56000.0,10.82,0,0,100.0
6200,6.03,188.71,26500.0,18.2,0,0,100.0
15000,18.64,547.12,54000.0,19.69,0,0,100.0
4200,11.71,138.92,53000.0,16.91,0,0,100.0
14000,14.27,480.33,52800.0,7.36,0,0,100.0
8875,7.51,276.11,38000.0,23.53,0,0,100.0
13500,9.91,435.04,38000.0,12.38,0,0,100.0
12000,9.91,386.7,42000.0,7.83,0,0,100.0
16000,19.91,423.11,55000.0,15.8,0,0,100.0
21600,19.42,565.32,60000.0,16.74,1,0,100.0
6000,10.65,195.44,87000.0,12.86,2,0,100.0
8450,16.77,208.97,25000.0,22.51,0,0,100.0
20000,13.49,460.1,82000.0,17.68,0,0,100.0
10000,11.71,330.76,60000.0,22.08,0,0,100.0
12000,16.29,423.61,80000.0,18.18,0,0,100.0
13475,13.49,309.99,25000.0,21.89,0,0,100.0
7200,12.42,240.59,48000.0,17.43,0,0,100.0
5600,14.65,193.17,85000.0,12.24,1,0,100.0
12000,14.27,411.71,57000.0,10.86,0,0,100.0
8500,6.03,258.71,25000.0,1.73,0,0,100.0
8000,9.91,257.8,34000.0,18.28,0,0,100.0
8000,12.42,267.33,40000.0,15.0,0,0,100.0
16000,15.27,382.92,42656.4,17.44,0,0,100.0
15000,17.27,536.81,44400.0,3.59,1,0,100.0
10000,9.91,322.25,30000.0,11.24,0,0,100.0
10000,6.62,307.04,70000.0,16.78,0,0,100.0
8000,14.65,275.96,28000.0,12.6,0,0,100.0
22000,9.91,708.95,50000.0,13.22,0,0,100.0
6000,14.27,205.86,94800.0,24.53,0,0,100.0
16000,9.91,339.25,40000.0,9.39,0,0,100.0
2500,7.51,77.78,12000.0,16.3,0,0,100.0
13500,9.91,435.04,36000.0,22.93,0,0,100.0
25000,12.42,835.39,225000.0,8.32,1,0,100.0
10000,13.49,339.31,45900.0,24.97,0,0,100.0
2500,13.49,84.83,27200.0,6.44,0,0,100.0
7325,12.69,245.72,42000.0,22.57,0,0,100.0
4000,12.42,133.67,135000.0,12.12,0,0,100.0
10000,13.49,339.31,65000.0,6.92,1,0,100.0
7750,17.27,277.36,24000.0,16.1,0,0,100.0
20000,20.89,539.84,70000.0,16.63,0,0,100.0
9600,12.42,320.79,65000.0,11.65,0,0,100.0
21000,11.71,464.07,60000.0,6.62,0,0,100.0
14000,10.65,456.03,30000.0,15.52,0,0,100.0
13350,12.42,446.1,43000.0,20.57,0,0,100.0
15000,16.77,533.08,42000.0,19.63,0,0,100.0
15000,17.27,536.81,75000.0,16.03,0,0,100.0
11000,13.49,253.06,129000.0,10.94,0,0,100.0
35000,10.65,1140.07,168000.0,3.17,1,0,100.0
9000,10.65,293.16,74000.0,8.89,0,0,100.0
22475,15.27,537.87,52000.0,15.23,0,0,100.0
16000,12.69,536.72,58500.0,20.64,0,0,100.0
13500,12.69,452.86,71000.0,11.97,0,0,100.0
24000,12.69,805.08,75000.0,11.6,0,0,100.0
12000,10.65,390.88,60000.0,10.84,0,0,100.0
8400,16.77,207.73,87996.0,11.35,0,0,100.0
28000,17.58,704.64,140000.0,12.07,0,0,100.0
14000,6.62,429.86,66000.0,11.15,0,0,100.0
12000,14.27,411.71,70000.0,8.4,0,0,100.0
25000,11.71,826.9,100000.0,6.88,0,0,100.0
9000,12.69,301.91,50000.0,17.81,0,0,100.0
13250,10.65,431.6,35000.0,24.93,0,0,100.0
20000,13.49,678.61,75000.0,22.38,0,0,100.0
3000,14.65,103.49,71000.0,21.84,0,0,100.0
7350,10.65,239.42,48000.0,11.93,0,0,100.0
11500,15.27,400.18,36000.0,21.1,0,0,100.0
13650,12.42,456.12,86000.0,12.29,0,0,100.0
10500,16.29,370.66,30000.0,15.0,0,0,100.0
12000,9.91,386.7,60000.0,15.5,0,0,100.0
6000,8.9,190.52,34000.0,14.51,0,0,100.0
11500,15.27,400.18,44200.0,21.69,0,0,100.0
7000,12.42,233.91,82000.0,12.0,0,0,100.0
29500,20.3,786.51,83000.0,20.93,0,0,100.0
2000,15.27,69.6,41000.0,17.74,0,0,100.0
11625,13.49,394.45,36000.0,19.33,0,0,100.0
15075,14.27,517.21,35000.0,20.16,0,0,100.0
5300,15.27,184.43,30000.0,24.88,0,0,100.0
8200,6.62,251.77,40000.0,11.1,0,0,100.0
12000,12.42,400.99,105000.0,13.98,0,0,100.0
8650,14.27,296.78,45000.0,7.6,0,0,100.0
21000,17.27,294.98,109000.0,7.75,0,0,56.19047619047619
16000,17.27,399.97,50000.0,11.04,0,0,100.0
12000,12.42,400.99,83000.0,11.81,0,0,100.0
9500,12.69,318.68,52500.0,23.54,0,0,100.0
7400,13.49,251.09,25000.0,8.45,0,0,100.0
14400,13.49,488.6,60000.0,16.92,0,0,100.0
24250,23.91,519.76,120000.0,12.96,0,0,74.63917525773196
7200,7.9,225.29,68000.0,7.98,0,0,100.0
26000,16.77,642.96,53000.0,11.77,0,0,100.0
7000,11.71,154.69,69600.0,26.22,0,0,100.0
4000,7.51,124.45,65000.0,18.17,0,0,100.0
1500,17.27,53.69,144000.0,8.23,1,0,100.0
19600,12.42,654.94,75000.0,11.62,0,0,100.0
2500,11.71,82.69,29000.0,18.7,0,0,100.0
10000,12.69,335.45,70000.0,2.69,0,0,100.0
10000,6.62,307.04,45000.0,26.85,0,0,100.0
4225,12.42,141.18,55200.0,17.61,0,0,100.0
3500,7.9,109.52,61440.0,6.46,1,0,100.0
12000,6.62,368.45,56000.0,13.65,0,0,100.0
16500,8.9,523.93,47000.0,9.06,0,0,100.0
22000,21.67,603.5,55000.0,15.62,0,0,100.0
12000,14.65,413.94,71000.0,14.87,0,0,100.0
15600,12.69,352.48,50000.0,5.78,0,0,100.0
10800,12.42,360.89,135000.0,12.12,0,0,100.0
14000,12.42,467.82,63000.0,7.35,0,0,100.0
18825,17.58,473.75,44000.0,24.98,0,0,100.0
6000,13.49,203.59,50000.0,15.58,0,0,100.0
12000,9.91,386.7,80000.0,14.83,0,0,100.0
10000,12.42,334.16,45000.0,10.45,0,0,100.0
8000,7.9,250.33,78000.0,6.09,0,0,100.0
14125,9.91,455.18,33000.0,23.13,0,0,100.0
14000,12.69,469.63,62800.0,19.24,0,0,100.0
13200,17.27,224.36,26400.0,9.64,0,0,67.99242424242425
4000,19.03,146.69,80000.0,20.59,1,0,100.0
4000,12.69,134.18,25000.0,6.86,0,0,100.0
10500,6.03,319.58,65000.0,10.36,0,0,100.0
5500,7.9,172.1,59000.0,6.65,0,0,100.0
7350,11.71,243.11,33000.0,22.51,0,0,100.0
10000,12.42,334.16,39000.0,18.31,0,0,100.0
12000,7.51,373.33,42000.0,10.74,0,0,100.0
5000,11.71,110.5,38004.0,23.78,0,0,100.0
8000,11.71,176.79,31000.0,16.22,0,0,100.0
4500,8.9,142.89,50700.0,23.43,0,0,100.0
18000,12.42,601.48,75000.0,12.51,0,0,100.0
12300,13.49,282.96,30000.0,12.76,0,0,100.0
12000,13.49,407.17,40000.0,15.72,0,0,100.0
10000,13.49,339.31,50000.0,5.88,1,0,100.0
6000,7.9,187.75,80000.0,8.87,0,0,100.0
12000,12.69,402.54,40000.0,22.2,0,0,100.0
12000,8.9,381.04,80000.0,9.13,0,0,100.0
7000,11.71,231.54,75000.0,15.57,0,0,100.0
35000,18.64,690.56,85000.0,12.0,0,0,76.64285714285714
1400,7.9,43.81,28800.0,10.0,0,0,100.0
16000,13.49,368.08,35000.0,16.22,0,0,100.0
3200,9.91,103.12,61200.0,2.16,0,0,100.0
8000,7.9,250.33,40000.0,13.35,0,0,100.0
11875,12.69,268.32,25920.0,23.75,0,0,100.0
5000,6.03,152.18,54000.0,3.82,0,0,100.0
1800,6.62,55.27,18000.0,23.8,0,0,100.0
35000,8.9,1111.37,85000.0,17.73,0,0,100.0
18000,8.9,571.56,78000.0,7.0,0,0,100.0
14000,7.9,438.07,45600.0,19.74,0,0,100.0
5000,12.42,167.08,70000.0,20.06,0,0,100.0
8000,15.96,281.1,70000.0,14.04,0,0,100.0
10000,6.03,304.36,80000.0,12.99,0,0,100.0
10000,7.51,311.11,50000.0,4.63,0,0,100.0
12000,12.42,400.99,35000.0,18.51,0,0,100.0
23200,7.9,725.94,65000.0,27.99,0,0,100.0
18000,15.27,430.78,84000.0,11.41,0,0,100.0
4800,15.27,167.03,75000.0,9.3,0,0,100.0
7300,11.71,241.46,35000.0,16.42,0,0,100.0
10400,9.91,335.14,40000.0,11.67,0,0,100.0
6600,9.91,212.69,100000.0,15.53,0,0,100.0
12000,8.9,381.04,40000.0,9.45,0,0,100.0
13250,17.27,474.19,52000.0,23.7,0,0,100.0
12000,11.71,396.92,92500.0,15.97,0,0,100.0
25000,9.91,805.63,61000.0,10.35,0,0,100.0
6000,10.65,195.44,36000.0,14.43,0,0,100.0
12000,7.51,373.33,68000.0,7.08,0,0,100.0
14400,11.71,476.3,80000.0,16.35,0,0,100.0
10000,12.42,334.16,43000.0,11.58,0,0,100.0
8000,11.71,264.61,150000.0,2.48,1,0,100.0
8000,16.29,282.41,50000.0,13.22,0,0,100.0
30000,12.42,673.72,70000.0,0.94,0,0,100.0
18000,16.77,445.13,40000.0,18.42,0,0,100.0
13250,11.71,438.26,35000.0,22.35,0,0,100.0
14000,14.27,480.33,80000.0,16.21,0,0,100.0
20000,20.3,533.23,59000.0,20.91,0,0,100.0
10000,16.29,353.01,40000.0,24.39,0,0,100.0
35000,20.3,619.88,85000.0,20.16,0,0,66.42857142857143
4000,6.03,121.75,55000.0,7.05,0,0,100.0
13000,9.91,418.93,110000.0,8.38,0,0,100.0
28000,12.69,939.26,100000.0,12.35,0,0,100.0
10000,13.49,339.31,62000.0,11.52,0,0,100.0
20000,7.9,625.81,45000.0,9.25,0,0,100.0
18000,9.91,580.05,110000.0,10.0,0,0,100.0
9000,19.91,238.0,60000.0,22.56,0,0,100.0
25000,18.64,643.58,61500.0,12.6,1,0,100.0
10000,11.71,330.76,33000.0,8.69,0,0,100.0
4200,6.03,127.83,61000.0,8.92,0,0,100.0
20000,15.27,478.64,78216.0,10.79,0,0,100.0
18000,17.27,449.97,62000.0,7.82,0,0,100.0
24000,16.29,847.21,50964.0,8.83,1,0,100.0
4475,15.27,155.72,43680.0,18.79,0,0,100.0
20000,14.65,472.14,56000.0,12.15,0,0,100.0
12000,12.42,400.99,50700.0,22.49,0,0,100.0
18000,17.58,452.98,60000.0,21.96,0,0,100.0
5000,12.42,167.08,30000.0,23.84,0,0,100.0
3000,6.03,91.31,50000.0,5.5,0,0,100.0
25000,19.03,648.93,75000.0,19.63,0,0,100.0
18000,19.03,467.23,90000.0,11.32,0,0,100.0
12000,9.91,386.7,55000.0,13.0,0,0,100.0
20000,15.27,695.96,50000.0,4.34,0,0,100.0
10000,13.49,339.31,84000.0,13.87,0,0,100.0
15000,12.42,501.23,155000.0,17.85,0,0,100.0
12000,7.9,375.49,62000.0,8.71,0,0,100.0
20000,10.65,290.64,175000.0,5.23,0,0,67.375
6300,11.71,208.38,30000.0,7.2,0,0,100.0
20000,16.77,494.59,50000.0,22.82,0,0,100.0
35000,17.27,578.71,208000.0,7.94,0,0,66.14285714285714
8250,15.96,200.45,35004.0,15.6,2,0,100.0
20000,12.69,451.9,85000.0,10.21,0,0,100.0
10000,11.71,330.76,32000.0,21.83,0,0,100.0
24000,8.9,762.08,116400.0,3.94,0,0,100.0
14400,12.69,483.05,40000.0,20.16,0,0,100.0
6000,14.65,206.97,34000.0,21.39,0,0,100.0
22000,15.96,773.03,73000.0,22.47,0,0,100.0
12000,11.71,396.92,57200.0,16.36,0,0,100.0
16000,16.77,568.62,114000.0,17.2,0,0,100.0
10000,10.65,325.74,90000.0,11.16,0,0,100.0
16000,19.03,301.76,54000.0,16.89,0,0,72.65625
10000,12.69,335.45,35000.0,12.03,0,0,100.0
3500,13.49,118.76,56000.0,10.35,0,0,100.0
9600,9.91,309.36,35000.0,16.49,0,0,100.0
9875,7.9,309.0,40000.0,24.03,0,0,100.0
21500,17.58,427.19,59000.0,22.86,0,0,78.95348837209302
4800,7.9,150.2,48000.0,13.0,0,0,100.0
7800,6.03,237.4,85000.0,0.78,0,0,100.0
20000,14.27,686.18,70000.0,6.21,0,0,100.0
9750,7.51,303.34,35000.0,29.04,0,0,100.0
18000,15.96,365.67,91000.0,23.41,0,0,83.61111111111111
5000,6.03,152.18,30000.0,16.48,0,0,100.0
9000,14.65,310.45,45000.0,17.01,1,0,100.0
7200,7.9,225.29,55000.0,11.98,0,0,100.0
3000,19.03,77.88,53004.0,10.73,1,0,100.0
25000,19.42,654.31,60000.0,20.04,0,0,100.0
25000,15.27,869.95,82000.0,18.5,0,0,100.0
10000,15.96,351.38,53000.0,13.09,0,0,100.0
8875,12.69,297.72,35360.0,23.11,0,0,100.0
15550,11.71,514.34,54000.0,23.36,0,0,100.0
17000,15.27,406.85,65000.0,16.84,0,0,100.0
7500,12.69,251.59,65000.0,4.41,0,0,100.0
8875,8.9,281.81,28800.0,24.29,0,0,100.0
4500,17.27,161.05,42000.0,4.34,0,0,100.0
5800,12.42,193.81,36000.0,21.67,0,0,100.0
10000,11.71,330.76,40000.0,22.26,0,0,100.0
10000,9.91,322.25,50000.0,19.06,0,0,100.0
14000,11.71,463.07,52000.0,12.97,0,0,100.0
25000,19.03,648.93,85000.0,17.15,1,0,100.0
12000,8.9,381.04,32000.0,6.75,0,0,100.0
24000,7.9,750.97,75000.0,10.58,0,0,100.0
14000,14.27,480.33,80000.0,3.3,0,0,100.0
12000,8.9,381.04,40246.0,17.08,0,0,100.0
15000,12.69,338.93,30000.0,24.76,0,0,100.0
8050,12.69,270.04,36000.0,14.8,0,0,100.0
5600,10.65,182.42,60000.0,16.36,1,0,100.0
7500,9.91,241.69,31200.0,12.35,0,0,100.0
7000,11.71,231.54,90000.0,12.19,0,0,100.0
5400,7.9,168.97,40000.0,10.89,0,0,100.0
16000,12.42,534.65,90000.0,13.67,0,0,100.0
35000,12.42,619.26,105000.0,16.53,0,0,78.78571428571429
6000,7.9,121.38,30084.0,1.68,0,0,100.0
4125,12.69,93.21,36000.0,17.73,0,0,100.0
9800,16.29,345.95,67000.0,21.01,0,0,100.0
15700,18.25,400.82,63000.0,17.43,0,0,100.0
5000,6.62,153.52,276000.0,1.82,0,0,100.0
9900,11.71,327.46,26400.0,14.09,0,0,100.0
4000,11.71,132.31,24000.0,7.5,1,0,100.0
15000,11.71,496.14,68400.0,5.7,0,0,100.0
6250,15.96,219.61,29120.0,20.85,0,0,100.0
6400,16.29,225.93,29120.0,17.97,0,0,100.0
8850,13.49,203.6,89122.0,7.67,0,0,100.0
12000,15.27,417.58,54000.0,17.07,0,0,100.0
15000,8.9,476.3,30000.0,6.48,0,0,100.0
6500,14.27,223.01,30000.0,10.12,0,0,100.0
8000,15.96,281.1,50000.0,16.34,1,0,100.0
30000,21.28,539.47,92000.0,17.57,0,0,66.08333333333333
15000,14.65,517.42,100500.0,14.56,0,0,100.0
10200,14.27,349.96,40000.0,16.53,0,0,100.0
9000,12.42,300.74,47000.0,19.1,0,0,100.0
6500,16.29,229.46,68000.0,21.85,0,0,100.0
23000,21.28,625.86,95000.0,8.94,0,0,100.0
2000,7.9,62.59,39600.0,5.09,0,0,100.0
8000,13.49,271.45,30000.0,14.48,0,0,100.0
8875,7.51,276.11,30000.0,28.4,0,0,100.0
1500,18.64,54.72,17000.0,4.59,0,0,100.0
8000,12.42,267.33,42000.0,20.26,0,0,100.0
20000,14.65,399.55,75000.0,16.51,0,0,84.625
6500,11.71,215.0,42000.0,6.26,0,0,100.0
9600,13.49,325.74,27000.0,10.22,0,0,100.0
25975,12.69,372.25,130000.0,26.13,0,0,63.42637151106833
10000,7.9,312.91,46000.0,10.46,0,0,100.0
15000,12.42,501.23,80000.0,5.61,0,0,100.0
9000,6.62,276.34,45000.0,22.05,0,0,100.0
10000,7.9,312.91,72500.0,27.92,0,0,100.0
1000,14.65,34.5,18408.0,6.0,0,0,100.0
14000,7.9,438.07,30000.0,15.2,0,0,100.0
8500,14.27,291.63,50000.0,8.5,0,0,100.0
15000,19.03,389.36,75000.0,2.82,0,0,100.0
4500,15.96,158.12,65000.0,14.66,0,0,100.0
3000,7.51,93.34,65000.0,27.91,0,0,100.0
10000,9.91,322.25,120000.0,7.98,0,0,100.0
21250,16.77,525.5,42500.0,19.93,0,0,100.0
33425,13.49,475.63,75000.0,25.71,0,0,61.854899027673895
35000,19.42,916.03,195000.0,11.72,0,0,100.0
7200,15.27,250.55,54990.0,20.95,0,0,100.0
18000,11.71,397.77,40000.0,18.18,0,0,100.0
23000,7.9,719.68,137000.0,8.13,0,0,100.0
20000,16.77,494.59,60000.0,9.46,0,0,100.0
6000,17.58,151.0,30120.0,15.54,0,0,100.0
7000,8.9,222.28,46000.0,7.9,0,0,100.0
21000,12.69,704.45,135000.0,8.52,0,0,100.0
8250,7.51,256.67,31500.0,17.87,0,0,100.0
13000,9.91,418.93,65000.0,8.82,0,0,100.0
18000,6.62,552.67,78000.0,6.35,0,0,100.0
7200,6.03,219.14,60000.0,2.54,0,0,100.0
16500,8.9,523.93,48000.0,13.1,0,0,100.0
8125,7.9,254.24,25000.0,24.34,0,0,100.0
18800,7.51,584.89,82000.0,13.76,1,0,100.0
26800,19.03,982.79,82000.0,21.59,0,0,100.0
19200,7.9,600.78,42000.0,19.66,0,0,100.0
12875,17.58,213.28,27600.0,18.7,0,0,65.8252427184466
4000,12.42,133.67,38000.0,19.64,0,0,100.0
4000,16.29,141.21,35000.0,9.22,0,0,100.0
12000,9.91,386.7,33000.0,18.8,0,0,100.0
2625,11.71,86.83,52800.0,14.52,0,0,100.0
18000,13.49,414.09,40900.0,13.7,0,0,100.0
7000,9.91,225.58,73882.0,11.45,0,0,100.0
11300,12.69,379.06,36000.0,16.33,0,0,100.0
4000,9.91,128.9,130000.0,10.05,0,0,100.0
8000,6.03,243.49,57200.0,4.72,0,0,100.0
14400,18.25,522.41,51871.0,7.82,0,0,100.0
4375,12.42,146.2,15000.0,13.92,0,0,100.0
4100,7.51,127.56,70197.0,6.58,0,0,100.0
6000,8.9,190.52,47000.0,14.43,0,0,100.0
4200,17.27,105.0,43000.0,10.13,0,0,100.0
4000,6.62,122.82,120000.0,3.89,0,0,100.0
3000,10.65,97.72,86004.0,13.37,0,0,100.0
5400,12.69,181.15,75000.0,8.8,0,0,100.0
15000,16.29,529.51,110000.0,21.99,2,0,100.0
20000,18.64,514.86,80000.0,23.47,0,0,100.0
10400,12.69,348.87,44000.0,19.91,0,0,100.0
4500,17.58,113.25,51600.0,22.63,0,0,100.0
11500,12.42,384.28,38500.0,13.06,0,0,100.0
10000,6.62,307.04,75000.0,24.85,0,0,100.0
18225,13.49,309.42,37320.0,20.8,0,0,73.7997256515775
3600,8.9,114.32,55000.0,5.48,0,0,100.0
18500,11.71,292.81,100000.0,0.72,0,0,71.62162162162163
16800,18.25,428.9,70000.0,21.5,0,0,100.0
10000,17.27,357.88,68000.0,17.15,0,0,100.0
15000,18.25,544.17,66000.0,8.49,2,0,100.0
8000,11.71,264.61,85000.0,10.22,0,0,100.0
25000,16.77,443.89,83004.0,13.66,0,0,71.8
16000,7.9,500.65,51000.0,24.66,0,0,100.0
8000,10.65,260.59,55000.0,11.56,0,0,100.0
7200,7.51,224.0,47000.0,19.74,0,0,100.0
12000,7.51,373.33,86000.0,13.3,0,0,100.0
2200,15.27,76.56,48000.0,5.47,0,0,100.0
20000,12.69,451.9,49000.0,17.78,0,0,100.0
28000,12.42,628.81,85000.0,15.87,0,0,100.0
6000,7.51,186.67,50000.0,23.86,0,0,100.0
25000,19.42,654.31,105000.0,21.13,0,0,100.0
8000,8.9,165.68,51204.0,25.12,0,0,100.0
14400,15.27,501.09,42996.0,0.98,0,0,100.0
20000,19.03,355.62,60000.0,18.06,0,0,68.5
25000,14.27,467.0,85000.0,13.41,0,0,79.8
